Title	Path	Author	Servings	Ingredients	Procedure
Red-Wine Poached Pear Salad with Champagne Vinaigrette Recipe | Sur La Table	Home /Recipes/Salads/Fruit & Vegetable/Red-Wine Poached Pear Salad with Champagne Vinaigrette	By Recipe developed for Sur La Table's Cooking Classes	Makes 4 servings	  Poached Pears: 1 cup dry red wine ½ cup fresh orange juice ¼ cup granulated sugar 1 cinnamon stick, broken in half 2 firm-ripe pears, peeled, halved lengthwise and cored  Vinaigrette: 2 tablespoons Champagne vinegar 1 medium shallot, peeled and minced 1 teaspoon Dijon mustard ¼ cup extra-virgin olive oil Kosher salt and freshly ground black pepper  1 (5-ounce) package mixed baby greens, washed and dried 3 ounces crumbled blue cheese  	To prepare the poached pears: Place the wine, orange juice, sugar and cinnamon in a medium saucepan and place on the stove over medium-high heat to boil. Reduce the heat to a simmer and add the pears, cut side down and cook until the pears are tender, about 20 minutes. Allow to cool in the poaching liquid.  To make the vinaigrette:  In a medium bowl, whisk to combine the vinegar, shallot, and mustard. While whisking vigorously, slowly drizzle the olive oil into the vinegar mixture. Taste and adjust seasoning with salt and pepper. Set aside.   To assemble salad: Place the mixed greens into a large bowl and toss with enough vinaigrette to lightly coat the leaves. Taste and adjust seasoning with salt and pepper.  To serve: Remove the pears from the poaching liquid, transfer to a cutting board and cut lengthwise into thin slices. Divide the salad between 4 plates, arrange the pears around the salad and sprinkle with blue cheese. Serve immediately.  	
Roasted Steak With Chimichurri Sauce Recipe | Sur La Table	Home /Recipes/Main Courses/Meat/Roasted Steak With Chimichurri Sauce	By Tested and perfected in the Sur la Table kitchen	Yield: 4 servings	 Steak:  2, 12-ounce flank steaks Kosher salt and freshly ground black pepper Vegetable oil    Chimichurri sauce:  1 cup packed fresh flat-leaf parsley leaves   1/2 cup packed fresh cilantro leaves  1/2 cup extra-virgin olive oil 1 tablespoon shallot, coarsely chopped 2 garlic cloves, chopped 1/2 teaspoon ground cumin  1 tablespoon fresh oregano leaves 1/2 teaspoon red pepper flakes  2 tablespoons red wine vinegar Kosher salt and freshly ground black pepper  	Preheat oven to 400°F and position a rack in the upper third of oven.   Remove steaks from refrigerator and pat dry with paper towels. Rub both sides of steaks with oil, season with salt and pepper. Let steaks stand at room temperature for 30 minutes.  To cook steak: Preheat a large heavy bottom skillet over medium-high heat. When pan is hot, carefully add steaks and sear, about 2 minutes per side. Transfer pan to oven and cook to desired doneness, 6 to 8 minutes for medium-rare (or 125°F on an instant-read thermometer when inserted into thickest part of steak). Transfer steaks to a cutting board and tent loosely with foil.   To prepare chimichurri sauce: To the bowl of a food processor, combine all ingredients. Pulse until herbs are finely chopped, stopping to scrape down sides of bowl as needed. Transfer chimichurri to a medium bowl. Taste and adjust seasoning with salt and pepper.   To serve: Slice steaks crosswise into 1/2-inch slices; serve with chimichurri sauce.    Recipe variation: Most cuts of steak will work well for this recipe. The cooking technique will be the same, the suggested cook times might vary based on thickness of steak.	
Seared Salmon With Saffron Hollandaise Recipe | Sur La Table	Home /Recipes/Main Courses/Seafood/Seared Salmon With Saffron Hollandaise	By Tested and perfected in the Sur la Table kitchen	Yield: 4 servings	 Seared salmon:   4 (6-ounce) salmon fillets, pin bones removed Sea salt and freshly ground black pepper 1 tablespoon vegetable oil    Saffron hollandaise:  1/4 cup dry white wine 1/4 cup white wine vinegar 1 medium shallot, minced 1 teaspoon black peppercorns 1/8 teaspoon saffron threads steeped in 1 tablespoon warm water 3 large egg yolks 2 sticks (8 ounces) unsalted butter, melted  Sea salt  2 teaspoons fresh lemon juice, plus more as needed   1 tablespoon minced chives  	To prepare the salmon: Season fillets generously on both sides with salt and pepper. To a large nonstick skillet set over medium-high heat, add oil. When oil is shimmering, add the salmon fillets, flesh side down, and sear on both sides until nicely browned and the flesh is no longer translucent in the thickest part of the fillet, 3 to 5 minutes per side. Remove salmon from skillet and place on a large plate; tent with foil to keep warm while you prepare the sauce.   To prepare the sauce: In a small saucepan, combine wine, vinegar, shallots, and peppercorns; cook until nearly dry. You should have about 1 tablespoon of liquid. Cool the reduction to room temperature, then strain through a fine mesh sieve into a medium heatproof bowl and combine with the saffron water.   To prepare the egg mixture: To a medium saucepan, add water to reach 2 inches, and bring to a simmer. Add egg yolks to the bowl with the reduction and place the bowl over the simmering water, whisking constantly. To avoid overcooking the mixture, be sure that the water is barely simmering with no visible signs of surface action, just steam rising. As the egg yolks warm, they increase in volume. If they become too warm and begin to coagulate around the sides and bottom, remove from heat and cool slightly.  To prepare the hollandaise: When the yolks have tripled in volume and the mixture thickly coats the back of a spoon, after about 5 minutes, remove the bowl from the simmering water. Stabilize the bowl and begin adding the melted butter in a slow, thin stream, whisking constantly as it is incorporated. The sauce will begin to thicken as more butter is added. When the hollandaise is thick, velvety, and coats the back of a spoon, add the lemon juice and taste and adjust seasoning with salt and additional lemon juice as needed. If too thick, add a little warm water to thin the consistency.  If the sauce starts to break: It could be one of two things: either the butter was added too quickly, or the egg mixture got too hot (scrambled eggs). To rescue a broken sauce, try adding a small amount of boiling water and whisking until the sauce is smooth before adding more butter, or add another egg yolk to a clean bowl and set back over simmering water; whisk until thickened and using a fine mesh strainer to catch the scrambled egg, slowly strain the broken hollandaise gradually into the new egg yolk.  To serve: Place each salmon fillet on a warmed dinner plate and spoon hollandaise on top of each portion. Garnish with minced chives and serve immediately.	
Pan-Seared Scallops with Prosecco Butter Sauce Recipe | Sur La Table	Home /Recipes/Main Courses/Seafood/Pan-Seared Scallops with Prosecco Butter Sauce	By Tested and perfected in the Sur la Table kitchen	Makes 4 servings	  2 tablespoons canola or vegetable oil 1-½ pounds sea scallops, tough ligament removed from the side  Kosher salt and freshly ground black pepper 1 tablespoon olive oil, if needed 1 small shallot, minced 1 medium garlic clove, minced 1 cup Prosecco  ¼ cup whipping cream 3 tablespoons unsalted butter, cut into small pieces 1 tablespoon lemon juice 2 tablespoons chopped chives  	These succulent scallops are perfectly accompanied with sweet yet slightly acidic Prosecco in a delicate buttery sauce. For even cooking with a crisp exterior, it is suggested that the exterior of the scallops are patted dry prior to cooking, seasoned and allowed to reach room temperature before being placed into a hot pan.   Remove the scallops from the refrigerator and season with salt and pepper. Allow to reach room temperature.  To cook scallops: Place a large non-stick skillet over a high heat;  add canola oil and heat until the oil starts to shimmer. Carefully add the seasoned scallops to the skillet, sear until browned on both sides and just opaque in the center&#8212;about 2 to 3 minutes per side, depending on the size. Using tongs, transfer the scallops to a plate and tent with foil to keep warm.  To prepare the sauce: Return the skillet to the stove over a moderate heat, and add the olive oil if the pan is dry. When the oil is shimmering, add the shallots and cook until tender, about 2 minutes. Add the garlic and cook until fragrant, about 1 minute. Add the Prosecco; bring the liquid to a boil and cook, scraping up the browned bits from the bottom of the pan with a silicone spatula. Pour in the cream and continue to cook until the mixture has thickened, about 3 minutes. Remove the pan from the heat and whisk in the butter a little at a time.  Stir in the lemon juice and chives, taste and adjust seasoning with salt and pepper.   To serve: Divide the scallops between 4 warmed serving plates, ladle the sauce over the top and serve immediately.  	
Steak Tagliata with Arugula and Fried Capers Recipe | Sur La Table	Home /Recipes/Main Courses/Meat/Steak Tagliata with Arugula and Fried Capers		Makes 4 servings	  Steak Tagliata: 1½ pounds flank or thick-cut sirloin steak &#8532; cup plus 2 tablespoons extra-virgin olive oil, divided 6 large cloves garlic, peeled, thinly sliced 2 tablespoons finely chopped fresh rosemary leaves 2 teaspoons freshly ground black pepper, plus more as needed Flaky sea salt  Arugula and fried capers: About 1 cup vegetable oil, for frying ¼ cup capers, rinsed and patted dry 5 ounces baby arugula leaves, stemmed Best quality Aged Balsamic vinegar, for drizzling 2 ounces of Parmigiano-Reggiano, shaved into thin slices Lemon wedges, for serving  	Traditionally, tagliata is a very simple preparation of thinly sliced grilled beef garnished with olive oil. This version includes infused garlic-rosemary oil, fried capers and a lemony arugula salad which adds nuance and flavor contrast to the classic perfectly grilled steak.  Rub the steak liberally with 2 tablespoons olive oil and season generously with salt and pepper. Allow steak to sit at room temperature for about thirty minutes before cooking.  To prepare the garlic-rosemary oil: Combine remaining &#8532;-cup olive oil and garlic in a small saucepan and place over low heat. Cook until garlic starts to turn brown around the edges, about 5 minutes. Add chopped rosemary and freshly ground black pepper, stirring to combine.  To fry the capers: Fill a small saucepan with a ½-inch of vegetable oil and heat over medium heat until the oil registers 325°F on a deep-fry thermometer. Using a slotted spoon, carefully add capers to hot oil and fry, stirring once, until they begin to open and turn golden brown, 1 to 2 minutes. Remove fried capers with a slotted spoon and drain on a paper towel-lined plate. Set aside.   Preheat a grill or grill pan over medium-high heat. Place the steak on the grill and cook for 4 to 5 minutes. Using tongs, turn the steak and cook to medium-rare, or until a meat thermometer inserted in the thickest part of the steak registers 130°F, about 5 minutes more. (For steaks thicker than 1½ inches, transfer steak to a rack set over a rimmed baking sheet and roast in a preheated 400°F oven to finish cooking.) Transfer steak to a cutting board and allow it to rest for 5 minutes.  To serve: Arrange arugula over a large serving platter or plates. Using a carving knife, cut the steak across the grain into ¼-inch thick slices and arrange over the greens. Drizzle some of the warm garlic-rosemary oil and aged balsamic over (reserve the rest of the garlic oil for other uses). Scatter the fried capers and shaved parmesan over the top. Serve immediately with lemon wedges.  	
Citrus Herb Aioli Recipe | Sur La Table	Home /Recipes/Appetizers/Dips, Spreads, Sauces & Seasonings/Citrus Herb Aioli	By Recipe developed for our Urban Accent Mix	Makes about 1 cup	  1 cup mayonnaise (homemade or bottled)  1 tablespoon Citrus Herb seasoning (packet makes 3 batches) 1 tablespoon lemon juice  	Our citrus herb blend is a delicious way to dress up homemade or pre-packaged mayonnaise for burgers, fries and more&#8212;simply mix all ingredients in a bowl and serve!  	
Spiced Nuts Recipe | Sur La Table	Home /Recipes/Appetizers/Dips, Spreads, Sauces & Seasonings/Spiced Nuts	By Tested and perfected in the Sur la Table kitchen	Makes 5 cups	  4 cups mixed raw nuts such as almonds, cashews, pecans and walnuts &#190; cup granulated sugar 1 tablespoon kosher salt 1 tablespoon chile powder 2 teaspoons cinnamon powder ½ teaspoon all-spice powder 2 teaspoons cayenne pepper 1 large egg white  	This spiced nut mixture is addictive with its combination of sweet and spice. You may choose to reduce the amount of heat from the spices, especially the cayenne pepper, by adding a smaller quantity. You may also choose to use one or two more types of raw nuts depending on your personal preference.  Preheat an oven to 300 degrees and position an oven rack in the center. Line a rimmed baking sheet with silpat or parchment paper.   In a small bowl, combine the sugar with salt and all the spices.   In a large bowl, use a whisk to whip the egg whites until it increases in volume, is frothy and all liquid from the egg has been aerated. Add the mixed raw nuts and spiced sugar mixture and toss until well combined.   Spread the nut mixture evenly onto the prepared baking sheet and transfer to the oven to bake, stirring with a wooden spoon half way through the cooking process, until the nuts are lightly browned, about 40 minutes.   Remove the cooked nuts from the oven and leave to cool on the baking sheet, stirring occasionally until cooled.  To serve: Transfer spiced nuts to serving bowls, or make ahead by storing in an airtight container for up to 2 days.  	
Watermelon Paloma Recipe | Sur La Table	Home /Recipes/Beverages/Alcoholic Beverages/Watermelon Paloma	By Pate Giltner		  2 ounces tequila 3 ounces blended fresh watermelon, plus wedges for garnish ½ ounce lime juice ¼ ounce agave nectar  2 ounces grapefruit soda   	Blend fresh watermelon in a food processor or blender, strain if desired  Add ice to a cocktail shaker.  Add tequila, lime juice, agave, and watermelon, and shake.  Rim a glass with agave and dip into salt or Tajin  Add ice to the glass and strain the cocktail into the glass.  Top with the grapefruit soda.	
Fromage Fort Recipe | Sur La Table	Home /Recipes/Appetizers/Vegetarian/Fromage Fort	By Jacques P&eacute;pin	2 cups (about 50 toasts)	  3 to 4 garlic cloves, peeled 1 pound leftover cheese, a combination of half hard and half soft varieties (such as Brie, Cheddar, Swiss, bleu, mozzarella, goat, or cream cheese) ½ cup dry white wine 1 teaspoon freshly ground black pepper Salt, if needed   	Put the peeled garlic in the bowl of a food processor, and process for a few seconds, until coarsely chopped. Add the cheese, wine, pepper, and salt, if needed, and process for 30 to 40 seconds, until the mixture is soft and creamy but not too smooth. It should be well seasoned. Transfer the mixture to a crock, cover with plastic wrap, and refrigerate until ready to use.  To serve, spread generously on bread or toast, and eat as such. Alternatively, arrange on a tray, and place under a hot broiler for a few minutes to melt and brown the mixture. Serve hot as an hors d&#8217;oeuvre or as a garnish for a salad. 	
Spiced Pumpkin Pie with Meringue Topping Recipe | Sur La Table	Home /Recipes/Desserts/Pies, Pastries & Tarts/Spiced Pumpkin Pie with Meringue Topping	By Recipe developed for Sur La Table's Cooking Classes	Makes 1 (10-inch) regular pie or 1 (9-inch) deep-dish pie	  1 recipe Perfect Pie Crust <a href="http://www.surlatable.com/product/REC-268964/The+Perfect+Crust " target="_blank"> Click for recipe</a> 3 large eggs 1½ teaspoons ground cinnamon &#190; teaspoon ground ginger ¼ teaspoon grated whole nutmeg (about 20 grates on a whole nutmeg)  ¼ teaspoon ground cloves ¼ teaspoon ground allspice ⅛ teaspoon salt 1½ cups heavy whipping cream ½ cup firmly packed light brown sugar ¼ cup granulated sugar 2 cups (16 ounces) canned pumpkin puree (not pumpkin pie filling)  Whipped cream, for serving  Meringue: 4 large egg whites 10 tablespoons granulated sugar  	Thanksgiving just may be everyone&#8217;s favorite holiday. After all, what&#8217;s better than a day completely devoted to a delicious feast shared by family and friends, all giving thanks for their blessings? This recipe takes an American classic to celebration status with a careful blend of spices and heavy cream, outshining the stale spice mix and evaporated milk of less enchanting recipes. Ever notice how spices clump up and don&#8217;t blend well when added to a custard? The trick is to blend them first with the eggs, whose fat helps the clumps disperse evenly, before adding any liquid to the custard mixture. 	 <>b>To prepare the pie crust: remove the dough from the refrigerator about 15 minutes before you are ready to roll it to allow it to soften slightly. Generously flour a work surface and place chilled dough disk on the flour. Dust the top of the dough with flour. Using a rolling pin, roll chilled dough into a circle, turning and flipping the dough as needed with a bench scraper to prevent sticking, until the circle measures 14 inches wide and ⅛ inch thick. Starting at one edge, roll the dough around the rolling pin and lay it gently on top of a 9-inch glass or ceramic pie pan. Gently press the dough into the bottom and sides of the pan. Use a pair of kitchen scissors to trim the dough so it overhangs the edge of the pan by 1 inch. Fold the overhanging dough under itself around the pan edge, then crimp or form a decorative border. Chill the lined pan for at least 30 minutes.   Preheat oven to 375&#176F and place a rack in the bottom third.   Prepare the pie for blind baking: line the chilled pie shell with heavy-duty foil, pressing the foil firmly and smoothly into the crevices of the pan. Fill the pan with pie weights. Make sure the weights reach up the sides to the rim of the pan (the center does not need to be filled quite as full). Bake the shell for 20 to 22 minutes, until the foil comes away from the dough easily (if it doesn&#8217;t, then bake another 5 to 6 minutes and check again). Remove the pan from the oven, close the oven door, and lift out the foil and weights from the shell; set them aside to cool. Return the pan to the oven to continue baking the shell for about 10 minutes, then remove the pan from the oven, close the oven door, and check to see if any cracks have formed. If you see a crack, very gently smear a tiny bit of reserved dough over the crack to patch it&#8212;you need only enough to seal the opening. Return the pan to the oven and bake 10 to 15 minutes longer, until the crust is a nice golden brown all over. Transfer to a rack and cool slightly. Lower the oven temperature to 350 degrees.  While the pie crust is baking, make the filling: whisk the eggs in a large mixing bowl to break them up. Add cinnamon, ginger, nutmeg, cloves, allspice and salt and whisk well to blend evenly. Whisk in the cream, brown sugar, granulated sugar and pumpkin and blend well. Strain the mixture through a fine-mesh strainer directly into the tart shell and bake until the custard is set, about 30 to 40 minutes. Test by tapping the side of the pie pan&#8212;the center of the pie should look firm and move as one piece. Transfer the pie to a rack and cool completely, about 2 hours.  Make the meringue: bring an inch of water to a boil in the bottom of the double boiler. Place the egg whites and sugar in the top of the double boiler off the heat. Set on top of the simmering water and whisk constantly (not vigorously, just enough to keep the whites moving) for 4 to 5 minutes, until the egg whites are hot to the touch and the mixture reaches 160-degrees on an instant read thermometer (the mixture should look frothy, but not whipped). Remove the whites from the heat each time you test their temperature. When they are on the heat, keep whisking to prevent scrambling. If that happens, there is no recourse and you will have to begin again, so watc	
